name,url,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2025-08-20T06:14:24Z,TypeScript,25717,0,19826,19632,99.02
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2025-07-29T21:02:41Z,Markdown,142,0,821,595,72.47
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,2025-07-18T18:37:33Z,N/A,679,0,353,340,96.32
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-08-17T15:03:15Z,Python,6820,0,1181,1150,97.38
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,2025-05-20T15:56:34Z,Python,1872,0,712,704,98.88
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2025-08-20T12:02:34Z,TypeScript,3679,1,2941,2693,91.57
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,2024-12-05T23:47:30Z,N/A,415,0,516,453,87.79
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-05-21T11:13:33Z,Python,200,0,339,91,26.84
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,2024-10-03T12:29:12Z,N/A,1067,0,0,0,0.0
vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,2025-07-17T16:35:51Z,Python,544,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2025-08-17T13:42:00Z,N/A,2394,1,806,806,100.0
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,N/A,182,0,209,79,37.8
facebook/react,https://github.com/facebook/react,2013-05-24T16:15:54Z,2025-08-20T07:34:06Z,JavaScript,12112,105,13990,13192,94.3
vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,TypeScript,1133,249,10028,9673,96.46
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-08-19T14:16:04Z,Python,2976,0,1587,1511,95.21
torvalds/linux,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,2025-08-19T17:32:18Z,C,10,0,0,0,0.0
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2025-02-12T16:19:59Z,JavaScript,302,0,366,229,62.57
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-08-20T12:00:35Z,C++,35921,219,40735,39837,97.8
ossu/computer-science,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,2025-07-17T02:38:25Z,HTML,298,0,652,638,97.85
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,N/A,122,0,0,0,0.0
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2025-05-20T14:22:36Z,N/A,368,0,944,863,91.42
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,N/A,374,0,571,448,78.46
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2025-08-19T10:46:13Z,Shell,3377,0,4966,4826,97.18
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2025-08-20T12:10:28Z,Python,3191,67,3391,3228,95.19
microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,2025-08-20T11:59:09Z,TypeScript,36153,176,205171,193146,94.14
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,2025-08-20T08:06:26Z,MDX,8971,93,22750,22344,98.22
flutter/flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,2025-08-20T10:47:50Z,Dart,43794,7,108756,96867,89.07
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2025-03-28T10:29:23Z,Jupyter Notebook,13,0,691,118,17.08
github/gitignore,https://github.com/github/gitignore,2010-11-08T20:17:14Z,2025-08-08T20:08:39Z,N/A,1713,0,0,0,0.0
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,N/A,317,0,258,136,52.71
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2025-05-03T06:17:03Z,Python,1874,27,7830,5467,69.82
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2025-08-20T02:17:55Z,Java,1180,0,1104,1032,93.48
ollama/ollama,https://github.com/ollama/ollama,2023-06-26T19:39:32Z,2025-08-20T07:39:40Z,Go,2466,142,7975,6215,77.93
avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,2025-08-18T02:46:10Z,Go,3457,0,687,681,99.13
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,2025-08-20T12:08:21Z,Python,16626,222,17804,16722,93.92
airbnb/javascript,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,2024-12-09T06:56:18Z,JavaScript,810,0,1367,1270,92.9
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2025-08-10T21:18:38Z,Batchfile,6,24,720,720,100.0
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2025-05-04T11:53:05Z,Python,1642,341,26768,23125,86.39
vercel/next.js,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,2025-08-20T11:37:29Z,JavaScript,23612,1000,23368,21045,90.06
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2025-08-02T07:30:17Z,JavaScript,171,0,0,0,0.0
n8n-io/n8n,https://github.com/n8n-io/n8n,2019-06-22T09:24:21Z,2025-08-20T12:06:58Z,TypeScript,10602,380,5145,4524,87.93
golang/go,https://github.com/golang/go,2014-08-19T04:33:40Z,2025-08-20T01:58:55Z,Go,1,0,67922,58740,86.48
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2025-01-31T06:30:22Z,Markdown,238,1,918,916,99.78
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2025-07-10T00:25:52Z,TypeScript,481,0,115,74,64.35
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,2025-08-12T17:04:09Z,C,113,47,5614,3167,56.41
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2025-07-30T17:30:00Z,Python,16,57,2840,2626,92.46
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,2025-08-07T16:49:18Z,JavaScript,826,12,300,300,100.0
facebook/react-native,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,2025-08-20T11:12:22Z,C++,930,410,27199,26542,97.58
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2020-10-26T04:22:55Z,2025-08-20T06:17:45Z,Python,2902,117,9761,8166,83.66
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,2025-08-20T11:58:03Z,C#,5635,117,34534,27540,79.75
electron/electron,https://github.com/electron/electron,2013-04-12T01:47:36Z,2025-08-20T11:35:10Z,C++,23244,1000,21047,20290,96.4
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,2025-08-19T20:00:03Z,Go,62231,754,47685,45771,95.99
krahets/hello-algo,https://github.com/krahets/hello-algo,2022-11-04T11:08:34Z,2025-08-05T18:33:00Z,Java,945,9,269,257,95.54
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2024-07-15T08:55:20Z,N/A,282,3,0,0,0.0
langchain-ai/langchain,https://github.com/langchain-ai/langchain,2022-10-17T02:58:36Z,2025-08-19T22:55:24Z,Jupyter Notebook,14479,946,8639,8431,97.59
nodejs/node,https://github.com/nodejs/node,2014-11-26T19:57:11Z,2025-08-20T11:34:27Z,JavaScript,10743,455,19448,17729,91.16
langgenius/dify,https://github.com/langgenius/dify,2023-04-12T07:40:24Z,2025-08-20T12:09:42Z,TypeScript,7029,140,12542,11830,94.32
d3/d3,https://github.com/d3/d3,2010-09-27T17:22:42Z,2025-07-27T11:30:40Z,Shell,493,194,2229,2220,99.6
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,2015-03-18T21:06:26Z,2025-08-15T08:31:14Z,HTML,2758,0,0,0,0.0
mrdoob/three.js,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,2025-08-20T12:05:48Z,JavaScript,14385,171,13170,12721,96.59
